account_id,device
0-3086825,"iPad2,1"
0-3087394,"iPhone4,1"
0-3087963,"iPad2,4"
0-3088532,"iPhone5,1"
0-3089101,"iPhone4,1"
0-3089670,"iPad2,4"
0-3090239,"iPhone4,1"
0-3090808,"iPod4,1"
0-3091377,"iPod4,1"
0-3092250,"iPad2,2"
0-3092820,"iPod4,1"
0-3093390,"iPod4,1"
0-3093960,"iPhone4,1"
0-3094530,"iPhone3,3"
0-3095100,"iPod4,1"
0-3095670,"iPhone4,1"
0-3096240,"iPod4,1"
0-3096810,"iPhone5,2"
0-3097380,"iPad2,2"
0-3097950,"iPhone5,2"
0-3098520,"iPad2,4"
0-3099090,"iPod4,1"
0-3099660,"iPhone3,1"
0-3100230,"iPad3,1"
0-3100800,"iPhone4,1"
0-3101370,"iPad2,5"
0-3101940,"iPad3,1"
0-3102510,"iPhone4,1"
0-3103080,"iPad2,2"
0-3103650,"iPod4,1"
0-3104220,"iPod4,1"
0-3104790,"iPad2,2"
0-3105360,"iPad2,1"
0-3105930,"iPhone3,1"
0-3106500,"iPhone4,1"
0-3107070,"iPhone3,1"
0-3107640,"iPad2,4"
0-3108210,"iPhone4,1"
0-3108780,"iPad3,3"
0-3109350,"iPhone4,1"
0-3109920,"iPhone4,1"
0-3110490,"iPad3,6"
0-3111060,"iPhone4,1"
0-3111630,"iPad1,1"
0-3112200,"iPod4,1"
0-3112770,"iPad2,2"
0-3113092,"iPad2,2"
0-3113663,"iPod4,1"
0-3114234,"iPod4,1"
0-3114805,"iPod4,1"
0-3115376,"iPad2,5"
0-3115947,"iPhone3,1"
0-3116518,"iPad3,4"
0-3117089,"iPhone2,1"
0-3117660,"iPod4,1"
0-3118231,"iPhone3,1"
0-3118802,"iPad2,1"
0-3119373,"iPhone3,1"
0-3119944,"iPad2,2"
0-3120515,"iPad3,4"
0-3121086,"iPhone3,1"
0-3121657,"iPad3,4"
0-3122228,"iPod4,1"
0-3122799,"iPhone4,1"
0-3123370,"iPhone3,1"
0-3123941,"iPad3,1"
0-3124512,"iPhone5,2"
0-3125083,"iPhone4,1"
0-3125654,"iPhone4,1"
0-3126225,"iPhone5,2"
0-3126796,"iPad3,1"
0-3127367,"iPhone4,1"
0-3127938,"iPhone4,1"
0-3128509,"iPad3,4"
