order delivery time,order id,customer order rating,type of issue reported,region
2014-06-01 00:26:29 UTC,233597040,5,,chi
2014-06-01 00:19:15 UTC,233597021,5,,chi
2014-06-01 00:17:20 UTC,233596993,5,,chi
2014-06-01 00:14:48 UTC,233596986,5,,chi
2014-06-01 00:04:29 UTC,233597018,5,,chi
2014-06-01 00:04:02 UTC,233596930,5,,chi
2014-05-31 23:55:30 UTC,233596784,5,,chi
2014-05-31 23:52:04 UTC,233596936,5,,chi
2014-05-31 23:37:21 UTC,233596953,5,,chi
2014-05-31 23:33:54 UTC,233596883,5,,chi
2014-05-31 23:33:22 UTC,233596956,5,,chi
2014-05-31 23:32:44 UTC,233596683,5,,chi
2014-05-31 23:31:41 UTC,233596849,5,,chi
2014-05-31 23:30:59 UTC,233596971,5,,chi
2014-05-31 23:27:16 UTC,233596977,5,,chi
2014-05-31 23:09:18 UTC,233596743,5,,chi
2014-05-31 23:01:34 UTC,233596917,5,,chi
2014-05-31 23:01:19 UTC,233596839,5,,chi
2014-05-31 23:00:33 UTC,233596808,5,,chi
2014-05-31 22:52:37 UTC,233596917,5,,chi
2014-05-31 22:49:23 UTC,233596880,5,,chi
2014-05-31 22:48:47 UTC,233596898,5,,chi
2014-05-31 22:48:36 UTC,233596824,5,,chi
2014-05-31 22:46:12 UTC,233596761,5,,chi
2014-05-31 22:35:50 UTC,233596842,5,,chi
2014-05-31 22:30:19 UTC,233596134,5,,chi
2014-05-31 22:28:24 UTC,233596797,5,,chi
2014-05-31 22:27:55 UTC,233596595,5,,chi
2014-05-31 22:21:42 UTC,233596793,5,,chi
2014-05-31 22:20:24 UTC,233596832,5,,chi
2014-05-31 22:10:46 UTC,233596797,5,,chi
2014-05-31 22:10:28 UTC,233596768,5,,chi
2014-05-31 22:07:06 UTC,233596777,5,,chi
2014-05-31 22:05:50 UTC,233596827,5,,chi
2014-05-31 22:05:41 UTC,233596746,5,,chi
2014-05-31 22:05:08 UTC,233596684,5,,chi
2014-05-31 22:00:19 UTC,233596802,5,,chi
2014-05-31 22:00:01 UTC,233596751,5,,chi
2014-05-31 21:59:06 UTC,233596066,5,,chi
2014-05-31 21:58:26 UTC,233596767,5,,chi
2014-05-31 21:45:04 UTC,233596719,5,,chi
2014-05-31 21:40:27 UTC,233596642,5,,chi
2014-05-31 21:37:05 UTC,233596006,5,,chi
2014-05-31 21:35:56 UTC,233596720,5,,chi
2014-05-31 21:32:31 UTC,233596164,5,,chi
2014-05-31 21:32:05 UTC,233593475,5,,chi
2014-05-31 21:28:44 UTC,233596694,5,,chi
2014-05-31 21:26:34 UTC,233593475,5,,chi
2014-05-31 21:22:06 UTC,233596639,5,,chi
2014-05-31 21:13:48 UTC,233596672,5,,chi
2014-05-31 21:11:54 UTC,233596692,5,,chi
2014-05-31 21:07:43 UTC,233596680,5,,chi
2014-05-31 20:58:15 UTC,233594992,5,,chi
2014-05-31 20:58:02 UTC,233594992,5,,chi
2014-05-31 20:39:29 UTC,233596352,5,,chi
2014-05-31 20:38:04 UTC,233596679,5,,chi
2014-05-31 20:33:57 UTC,233596408,5,,chi
2014-05-31 20:32:51 UTC,233596665,5,,chi
2014-05-31 20:32:47 UTC,233596588,5,,chi
2014-05-31 20:09:15 UTC,233596303,5,,chi
2014-05-31 20:07:55 UTC,233596556,5,,chi
2014-05-31 20:05:14 UTC,233596531,5,,chi
2014-05-31 20:05:04 UTC,233595658,5,,chi
2014-05-31 19:55:23 UTC,233596590,5,,chi
2014-05-31 19:53:09 UTC,233596465,5,,chi
2014-05-31 19:51:56 UTC,233595940,5,,chi
2014-05-31 19:45:49 UTC,233596534,5,,chi
2014-05-31 19:40:56 UTC,233596522,5,,chi
2014-05-31 19:37:38 UTC,233596497,5,,chi
2014-05-31 19:36:19 UTC,233595860,5,,chi
2014-05-31 19:34:30 UTC,233596443,5,,chi
2014-05-31 19:34:22 UTC,233596515,5,,chi
2014-05-31 19:26:05 UTC,233596470,5,,chi
2014-05-31 19:17:28 UTC,233596457,5,,chi
2014-05-31 19:15:22 UTC,233596309,5,,chi
2014-05-31 19:05:38 UTC,233596425,5,,chi
2014-05-31 19:03:22 UTC,233596346,5,,chi
2014-05-31 19:02:14 UTC,233596429,5,,chi
2014-05-31 19:01:32 UTC,233596380,5,,chi
2014-05-31 18:59:36 UTC,233596418,5,,chi
2014-05-31 18:44:06 UTC,233596422,5,,chi
2014-05-31 18:38:10 UTC,233596392,5,,chi
2014-05-31 18:36:45 UTC,233595910,5,,chi
2014-05-31 18:32:02 UTC,233595922,5,,chi
2014-05-31 18:27:54 UTC,233596281,5,,chi
2014-05-31 18:23:12 UTC,233596125,5,,chi
2014-05-31 18:17:55 UTC,233596168,5,,chi
2014-05-31 18:17:37 UTC,233595798,5,,chi
2014-05-31 18:10:38 UTC,233596340,5,,chi
2014-05-31 18:09:17 UTC,233596341,5,,chi
2014-05-31 18:04:59 UTC,233596357,5,,chi
2014-05-31 18:03:27 UTC,233596120,5,,chi
2014-05-31 18:03:01 UTC,233596294,5,,chi
2014-05-31 18:02:57 UTC,233596231,5,,chi
2014-05-31 17:59:58 UTC,233596264,5,,chi
2014-05-31 17:59:38 UTC,233596084,5,,chi
2014-05-31 17:58:22 UTC,233596251,5,,chi
2014-05-31 17:58:04 UTC,233596157,5,,chi
2014-05-31 17:55:19 UTC,233595922,5,,chi
2014-05-31 17:51:21 UTC,233596294,5,,chi
2014-05-31 17:47:49 UTC,233596182,5,,chi
2014-05-31 17:45:47 UTC,233596273,5,,chi
2014-05-31 17:44:52 UTC,233586365,5,,chi
2014-05-31 17:39:45 UTC,233596306,5,,chi
2014-05-31 17:18:45 UTC,233596256,5,,chi
2014-05-31 17:12:41 UTC,233596226,5,,chi
2014-05-31 17:09:23 UTC,233596203,5,,chi
2014-05-31 17:05:10 UTC,233596194,5,,chi
2014-05-31 17:02:00 UTC,233596038,5,,chi
2014-05-31 16:54:59 UTC,233596224,5,,chi
2014-05-31 16:51:08 UTC,233596215,5,,chi
2014-05-31 16:51:03 UTC,233596191,5,,chi
2014-05-31 16:46:12 UTC,233596173,5,,chi
2014-05-31 16:45:36 UTC,233596197,5,,chi
2014-05-31 16:39:26 UTC,233595959,5,,chi
2014-05-31 16:31:28 UTC,233596148,5,,chi
2014-05-31 16:30:31 UTC,233596099,5,,chi
2014-05-31 16:19:10 UTC,233596071,5,,chi
2014-05-31 16:16:50 UTC,233595872,5,,chi
2014-05-31 16:14:36 UTC,233596196,5,,chi
2014-05-31 16:13:19 UTC,233596202,5,,chi
2014-05-31 16:10:56 UTC,233595427,5,,chi
2014-05-31 16:08:10 UTC,233596091,5,,chi
2014-05-31 15:46:30 UTC,233596139,5,,chi
2014-05-31 15:44:12 UTC,233596029,5,,chi
2014-05-31 15:38:30 UTC,233596023,5,,chi
2014-05-31 15:38:23 UTC,233595897,5,,chi
2014-05-31 15:30:37 UTC,233595844,5,,chi
2014-05-31 15:29:27 UTC,233595895,5,,chi
2014-05-31 15:28:16 UTC,233595316,5,,chi
2014-05-31 15:27:33 UTC,233595946,5,,chi
2014-05-31 15:24:51 UTC,233596058,5,,chi
2014-05-31 15:24:31 UTC,233596062,5,,chi
2014-05-31 15:23:31 UTC,233596058,5,,chi
2014-05-31 15:18:42 UTC,233595851,5,,chi
2014-05-31 15:17:16 UTC,233596124,5,,chi
2014-05-31 15:14:51 UTC,233595972,5,,chi
2014-05-31 15:12:15 UTC,233596072,5,,chi
2014-05-31 15:07:07 UTC,233595762,5,,chi
2014-05-31 14:40:57 UTC,233594438,5,,chi
2014-05-31 14:35:59 UTC,233596095,5,,chi
2014-05-31 14:32:16 UTC,233596064,5,,chi
2014-05-31 14:23:39 UTC,233595875,5,,chi
2014-05-31 14:13:14 UTC,233595971,5,,chi
2014-05-31 14:05:43 UTC,233595885,5,,chi
2014-05-31 13:58:52 UTC,233595852,5,,chi
2014-05-31 13:56:34 UTC,233595880,5,,chi
2014-05-31 13:48:28 UTC,233592356,5,,chi
2014-05-31 04:04:47 UTC,233595819,5,,chi
2014-05-31 03:13:58 UTC,233595858,5,,chi
