Cohort month,Cohort size,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
4/1/14,2587,79%,82%,72%,69%,64%,63%,57%,57%,54%,52%,51%,52%,50%,51%,46%,46%,45%,45%,43%,44%,43%,42%,42%,38%,40%,39%,38%,36%,35%,35%,35%,36%,34%,33%,33%,34%,32%,32%,31%,31%,31%,29%,29%,28%,27%,28%,28%,27%,28%,26%,27%,25%,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/14,2972,77%,84%,71%,70%,63%,62%,59%,58%,53%,55%,52%,54%,51%,48%,48%,48%,47%,46%,45%,46%,44%,45%,41%,43%,40%,41%,37%,39%,37%,40%,37%,39%,38%,37%,37%,36%,35%,35%,33%,33%,34%,34%,32%,32%,32%,31%,32%,31%,31%,29%,30%,29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/14,3236,78%,79%,69%,67%,61%,61%,56%,55%,53%,52%,51%,50%,46%,48%,46%,46%,44%,45%,42%,44%,41%,40%,39%,39%,37%,36%,34%,35%,34%,35%,34%,34%,32%,34%,32%,33%,31%,32%,30%,31%,30%,30%,27%,29%,27%,29%,28%,29%,26%,28%,26%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/14,3461,78%,81%,69%,68%,62%,62%,57%,56%,53%,54%,53%,49%,50%,48%,48%,45%,45%,44%,44%,44%,41%,42%,40%,39%,38%,36%,37%,36%,36%,35%,36%,34%,36%,33%,33%,33%,34%,32%,33%,32%,32%,30%,32%,30%,31%,30%,32%,28%,30%,29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/14,4168,74%,78%,66%,68%,61%,61%,56%,58%,54%,55%,47%,52%,48%,50%,46%,48%,44%,46%,44%,43%,42%,43%,40%,39%,37%,38%,37%,37%,35%,36%,34%,36%,34%,35%,34%,33%,33%,32%,33%,30%,31%,31%,30%,30%,31%,31%,29%,29%,29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/14,4463,75%,77%,66%,66%,58%,60%,55%,57%,52%,50%,50%,50%,47%,48%,45%,45%,44%,44%,41%,42%,41%,40%,37%,37%,37%,38%,37%,36%,36%,36%,35%,35%,34%,34%,34%,33%,32%,31%,30%,30%,31%,29%,30%,29%,30%,28%,29%,28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/14,4466,77%,81%,67%,66%,61%,61%,57%,58%,52%,54%,51%,51%,48%,49%,46%,48%,45%,44%,44%,43%,41%,40%,39%,38%,38%,39%,37%,38%,36%,37%,35%,35%,34%,36%,33%,35%,32%,32%,31%,32%,31%,32%,31%,31%,30%,31%,29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/14,4158,76%,81%,64%,70%,59%,66%,56%,59%,52%,57%,51%,54%,49%,52%,46%,50%,43%,47%,42%,44%,39%,41%,38%,41%,39%,40%,38%,38%,36%,37%,35%,37%,34%,35%,33%,33%,32%,32%,32%,32%,31%,32%,31%,31%,31%,31%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/14,4692,70%,74%,60%,66%,56%,62%,51%,57%,50%,54%,48%,51%,46%,49%,45%,46%,43%,45%,40%,41%,37%,40%,37%,40%,36%,38%,36%,37%,35%,35%,35%,35%,34%,33%,33%,31%,31%,31%,30%,30%,31%,30%,29%,29%,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/15,5830,75%,79%,65%,72%,61%,63%,55%,60%,52%,57%,49%,54%,48%,51%,45%,48%,43%,45%,40%,42%,39%,41%,37%,40%,37%,39%,35%,37%,34%,36%,33%,36%,33%,34%,30%,33%,30%,32%,30%,32%,30%,31%,29%,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
