"scraping_id","listing","city","lon","lat","mapped_location","name","capacity","bathrooms","bedrooms","has_pool","cleaning_fee","is_superhost","host_name"
"239","https://www.airbnb.com/rooms/8045347","Scottsdale","-111.891971484196","33.5746929975823","https://maps.google.com/maps?q=33.57469299758233205,-111.89197148419644634","Perfect 2 Bed - Heart of Scottsdale","5","2","2","1","150","1","Frank"
"240","https://www.airbnb.com/rooms/16444724","Scottsdale","-111.923064128873","33.4764920978554","https://maps.google.com/maps?q=33.47649209785537039,-111.92306412887302258","NEAR SCOTTSDALE POOL PARTIES, BARS & SLEEPS 16","16","2","3","0","250","1","Sunny"
"241","https://www.airbnb.com/rooms/4462429","Phoenix","-112.058327635426","33.3638180395373","https://maps.google.com/maps?q=33.36381803953734959,-112.05832763542615282","4  bedroom cozy newer home 12 stays","12","2","4","0","100","0","Jorge Alejandro"
"242","https://www.airbnb.com/rooms/16318177","Phoenix","-112.052313","33.515868","https://maps.google.com/maps?q=33.51586800000000000,-112.05231300000000000","Great house with heated pool and hot tub!","9","2","4","1","250","1","Benjamin"
"244","https://www.airbnb.com/rooms/16948176","Maricopa County","-112.120541092846","33.3424379340528","https://maps.google.com/maps?q=33.34243793405281053,-112.12054109284568426","South Mountain Hideaway.","8","2","2","0","0","0","Pamela"
"247","https://www.airbnb.com/rooms/20054611","Scottsdale","-111.934412939609","33.4864244616562","https://maps.google.com/maps?q=33.48642446165621323,-111.93441293960911764","4BR Modern Townhouse near Old Town by WanderJaunt","8","2.5","4","1","160","1","WanderJaunt"
"248","https://www.airbnb.com/rooms/16489980","Phoenix","-112.032677361052","33.6243705165042","https://maps.google.com/maps?q=33.62437051650422148,-112.03267736105230767","Comfort with outdoor paradise","7","2","3","0","100","1","Cathy"
"249","https://www.airbnb.com/rooms/17278409","Scottsdale","-111.91616401296","33.4978567501064","https://maps.google.com/maps?q=33.49785675010635799,-111.91616401296006700","The Scottsdale Pittman House","6","2.5","3","1","150","0","Maribeth"
"251","https://www.airbnb.com/rooms/20603326","Phoenix","-112.067443170684","33.5194304410326","https://maps.google.com/maps?q=33.51943044103263247,-112.06744317068442740","Private Two-Story Townhome in Uptown Phoenix","6","1.5","2","1","90","1","Tim"
"252","https://www.airbnb.com/rooms/18199813","Tempe","-111.934575701828","33.4522510257234","https://maps.google.com/maps?q=33.45225102572339893,-111.93457570182792438","Cozy North Tempe/Scottsdale home in great location","7","2","3","1","95","1","Terry"
"253","https://www.airbnb.com/rooms/14016695","Tempe","-111.909194488194","33.3814956427551","https://maps.google.com/maps?q=33.38149564275509817,-111.90919448819430215","HUGE Modern NEW Tempe Townhome Near ASU","7","2.5","3","1","125","0","AskAnessa"
"254","https://www.airbnb.com/rooms/20590445","Tempe","-111.889060709619","33.403952057673","https://maps.google.com/maps?q=33.40395205767300979,-111.88906070961914452","The Gathering House Tempe AZ","8","2","4","0","195","1","Mr. Duane & Dr. Jessyca"
"256","https://www.airbnb.com/rooms/16463079","Tempe","-111.902228629103","33.4240428047364","https://maps.google.com/maps?q=33.42404280473636646,-111.90222862910309232","The Tempe Ranch house","8","1","3","0","99","0","Deborah"
"257","https://www.airbnb.com/rooms/4937224","Scottsdale","-111.910401968835","33.4769159528949","https://maps.google.com/maps?q=33.47691595289485633,-111.91040196883486146","Amazing Old Town Scottsdale Condo! ","6","2","3","1","120","1","Chad"
"258","https://www.airbnb.com/rooms/18811793","Scottsdale","-111.850875","33.574242","https://maps.google.com/maps?q=33.57424200000000000,-111.85087500000000000","Big and Modern Family Home in Scottsdale","11","3","4","1","150","0","Sharon"
"259","https://www.airbnb.com/rooms/13461393","Scottsdale","-111.952344914942","33.6236995040852","https://maps.google.com/maps?q=33.62369950408515962,-111.95234491494198892","Kierland Sanctuary Heated Pool & Spa","8","3","3","0","240","0","Parker"
"260","https://www.airbnb.com/rooms/5599975","Phoenix","-112.04783605325","33.6741596354918","https://maps.google.com/maps?q=33.67415963549180447,-112.04783605325047802","PRIVATE JACUZZI, POOL & WATERFALL!","7","2.5","3","1","235","0","Scott"
"261","https://www.airbnb.com/rooms/16527780","Scottsdale","-111.897620793338","33.4969875225361","https://maps.google.com/maps?q=33.49698752253613065,-111.89762079333814881","Private Modern Full 3 Bedroom -Old Town Scottsdale","9","2","3","1","95","0","Jeremy & Kimberly"
"262","https://www.airbnb.com/rooms/20436406","Scottsdale","-111.929711767866","33.4610602654299","https://maps.google.com/maps?q=33.46106026542987877,-111.92971176786589638","Papago Parkway Ranch House","8","2","4","0","115","0","GandS"
"263","https://www.airbnb.com/rooms/17331434","Tempe","-111.922900598217","33.4352573078191","https://maps.google.com/maps?q=33.43525730781911420,-111.92290059821694115","2 Bed Luxury Lakeside Escape w/ kayaks & cabanas","6","2","2","1","75","0","Chuck"
