element_id,is mobile ( 1),CVR estimation 1 ,CVR estimation 2 
47921,,0.02983747,0.057
47921,1,0.01505345,0.0124
47926,,0.02983747,0.057
47926,1,0.01505345,0.0124
47962,,0.02983747,0.057
47962,1,0.01505345,0.0124
48013,,0.02983747,0.057
48013,1,0.01505345,0.0124
48043,,0.02983747,0.057
48043,1,0.01505345,0.0124
48054,,0.02983747,0.057
48054,1,0.01505345,0.0124
48060,,0.02983747,0.057
48060,1,0.01505345,0.0124
48100,,0.02902789,0.057
48100,1,0.01505345,0.0124
48116,,0.02983747,0.057
48116,1,0.01505345,0.0124
48141,,0.02983747,0.057
48141,1,0.01505345,0.0124
48287,,0.02983747,0.057
48287,1,0.01505345,0.0124
48296,,0.02983747,0.057
48296,1,0.01505345,0.0124
48325,,0.02983747,0.057
48325,1,0.01505345,0.0124
48327,,0.02983747,0.057
48327,1,0.01505345,0.0124
48335,,0.02983747,0.057
48335,1,0.01505345,0.0124
48394,,0.02983747,0.057
48394,1,0.01505345,0.0124
48538,,0.02826108,0.057
48538,1,0.01505345,0.0124
48544,,0.02983747,0.057
48544,1,0.01505345,0.0124
48552,,0.02983747,0.057
48552,1,0.01505345,0.0124
48587,,0.05193359,0.057
48587,1,0.01505345,0.0124
48597,,0.02753374,0.057
48597,1,0.01505345,0.0124
48599,,0.02983747,0.057
48599,1,0.01505345,0.0124
48600,,0.02983747,0.057
48600,1,0.01505345,0.0124
48630,,0.02983747,0.057
48630,1,0.01505345,0.0124
48654,,0.02983747,0.057
48654,1,0.01505345,0.0124
48703,,0.02902789,0.057
48703,1,0.01505345,0.0124
48766,,0.02983747,0.057
48766,1,0.01505345,0.0124
48805,,0.02983747,0.057
48805,1,0.01505345,0.0124
48809,,0.02983747,0.057
48809,1,0.01505345,0.0124
48936,,0.02983747,0.057
48936,1,0.01505345,0.0124
48958,,0.02983747,0.057
48958,1,0.01505345,0.0124
48982,,0.02983747,0.057
48982,1,0.01505345,0.0124
48991,,0.02983747,0.057
48991,1,0.01505345,0.0124
49013,,0.02983747,0.057
49013,1,0.01505345,0.0124
49059,,0.07627839,0.057
49059,1,0.01505345,0.0124
49060,,0.02983747,0.057
49060,1,0.01505345,0.0124
49154,,0.02983747,0.057
49154,1,0.01505345,0.0124
49278,,0.02983747,0.057
49278,1,0.01505345,0.0124
49297,,0.02983747,0.057
49297,1,0.01505345,0.0124
49318,,0.02983747,0.057
49318,1,0.01505345,0.0124
49325,,0.02983747,0.057
49325,1,0.01505345,0.0124
49402,,0.02983747,0.057
49402,1,0.01505345,0.0124
49438,,0.02983747,0.057
49438,1,0.01505345,0.0124
49495,,0.02983747,0.057
49495,1,0.01505345,0.0124
49529,,0.02902789,0.057
49529,1,0.01505345,0.0124
49557,,0.02983747,0.057
49557,1,0.01505345,0.0124
49560,,0.02983747,0.057
49560,1,0.01505345,0.0124
49585,,0.02983747,0.057
49585,1,0.01505345,0.0124
49694,,0.02983747,0.057
49694,1,0.01505345,0.0124
49740,,0.02983747,0.057
49740,1,0.01505345,0.0124
49750,,0.02983747,0.057
49750,1,0.01505345,0.0124
49766,,0.02983747,0.057
49766,1,0.01505345,0.0124
49768,,0.02983747,0.057
49768,1,0.01505345,0.0124
49790,,0.02902789,0.057
49790,1,0.01455392,0.0124
49791,,0.02983747,0.057
49791,1,0.01505345,0.0124
49837,,0.02983747,0.057
49837,1,0.01505345,0.0124
49850,,0.02618587,0.057
49850,1,0.01505345,0.0124
49871,,0.02983747,0.057
49871,1,0.01505345,0.0124
49912,,0.02983747,0.057
49912,1,0.01505345,0.0124
49923,,0.02983747,0.057
49923,1,0.01505345,0.0124
49928,,0.02983747,0.057
49928,1,0.01505345,0.0124
49939,,0.07627839,0.057
49939,1,0.01505345,0.0124
49979,,0.02902789,0.057
49979,1,0.01505345,0.0124
50096,,0.02983747,0.057
50096,1,0.01505345,0.0124
50103,,0.02902789,0.057
50103,1,0.01505345,0.0124
